i1,i2
6752,1152
6753,1137
6754,1146
6756,1140
6758,1158
6760,1144
6761,1153
6762,1138
6763,1147
6765,1141
6767,1159
6769,1145
6770,1154
6771,1139
6772,1148
6774,1142
6776,1160
6778,1386
6779,1395
6780,1380
6782,1398
6783,1383
6784,1392
6787,1387
6788,1396
6789,1381
6791,1399
6792,1384
6793,1393
6796,1388
6797,1397
6798,1382
6800,1400
6801,1385
6802,1394
6834,1002
6835,1011
6836,1020
6837,1005
6838,1014
6839,1023
6843,1003
6844,1012
6845,1021
6846,1006
6847,1015
6848,1024
6852,1004
6853,1013
6854,1022
6855,1007
6856,1016
6857,1025
6861,1245
6862,1254
6863,1263
6864,1248
6865,1257
6866,1266
6870,1246
6871,1255
6872,1264
6873,1249
6874,1258
6875,1267
6879,1247
6880,1256
6881,1265
6882,1250
6883,1259
6884,1268
6886,846
6887,855
6889,849
6890,858
6892,852
6893,861
6895,847
6896,856
6898,850
6899,859
6901,853
6902,862
6904,848
6905,857
6907,851
6908,860
6910,854
6911,863
6913,1089
6914,1098
6915,1083
6917,1101
6918,1086
6919,1095
6922,1090
6923,1099
6924,1084
6926,1102
6927,1087
6928,1096
6931,1091
6932,1100
6933,1085
6935,1103
6936,1088
6937,1097
6940,1332
6941,1341
6942,1326
6943,1335
6945,1329
6947,1347
6949,1333
6950,1342
6951,1327
6952,1336
6954,1330
6956,1348
6958,1334
6959,1343
6960,1328
6961,1337
6963,1331
6965,1349
6967,927
6968,936
6970,930
6971,939
6973,933
6974,942
6976,928
6977,937
6979,931
6980,940
6982,934
6983,943
6985,929
6986,938
6988,932
6989,941
6991,935
6992,944
6994,1170
6995,1179
6996,1164
6997,1173
6999,1167
7001,1185
7003,1171
7004,1180
7005,1165
7006,1174
7008,1168
7010,1186
7012,1172
7013,1181
7014,1166
7015,1175
7017,1169
7019,1187
7021,1413
7022,1422
7023,1407
7025,1425
7026,1410
7027,1419
7030,1414
7031,1423
7032,1408
7034,1426
7035,1411
7036,1420
7039,1415
7040,1424
7041,1409
7043,1427
7044,1412
7045,1421
7077,1029
7078,1038
7079,1047
7080,1032
7081,1041
7082,1050
7086,1030
7087,1039
7088,1048
7089,1033
7090,1042
7091,1051
7095,1031
7096,1040
7097,1049
7098,1034
7099,1043
7100,1052
7104,1272
7105,1281
7106,1290
7107,1275
7108,1284
7109,1293
7113,1273
7114,1282
7115,1291
7116,1276
7117,1285
7118,1294
7122,1274
7123,1283
7124,1292
7125,1277
7126,1286
7127,1295
7129,873
7130,882
7132,876
7133,885
7135,879
7136,888
7138,874
7139,883
7141,877
7142,886
7144,880
7145,889
7147,875
7148,884
7150,878
7151,887
7153,881
7154,890
7156,1116
7157,1125
7158,1110
7160,1128
7161,1113
7162,1122
7165,1117
7166,1126
7167,1111
7169,1129
7170,1114
7171,1123
7174,1118
7175,1127
7176,1112
7178,1130
7179,1115
7180,1124
7183,1359
7184,1368
7185,1353
7186,1362
7188,1356
7190,1374
7192,1360
7193,1369
7194,1354
7195,1363
7197,1357
7199,1375
7201,1361
7202,1370
7203,1355
7204,1364
7206,1358
7208,1376
7210,954
7211,963
7213,957
7214,966
7216,960
7217,969
7219,955
7220,964
7222,958
7223,967
7225,961
7226,970
7228,956
7229,965
7231,959
7232,968
7234,962
7235,971
7237,1197
7238,1206
7239,1191
7240,1200
7242,1194
7244,1212
7246,1198
7247,1207
7248,1192
7249,1201
7251,1195
7253,1213
7255,1199
7256,1208
7257,1193
7258,1202
7260,1196
7262,1214
7264,1440
7265,1449
7266,1434
7268,1452
7269,1437
7270,1446
7273,1441
7274,1450
7275,1435
7277,1453
7278,1438
7279,1447
7282,1442
7283,1451
7284,1436
7286,1454
7287,1439
7288,1448
7380,7372
7383,7375
7386,7378
7389,7373
7390,7382
7392,7376
7393,7385
7395,7379
7396,7388
7461,7453
7464,7456
7467,7459
7470,7454
7471,7463
7473,7457
7474,7466
7476,7460
7477,7469
7536,7320
7537,7329
7538,7338
7539,7323
7540,7332
7541,7341
7545,7321
7546,7330
7547,7339
7548,7324
7549,7333
7550,7342
7554,7322
7555,7331
7556,7340
7557,7325
7558,7334
7559,7343
7615,7407
7616,7416
7617,7401
7618,7410
7620,7404
7622,7422
7623,7399
7625,7417
7627,7411
7628,7420
7629,7405
7630,7414
7632,7400
7633,7409
7635,7403
7637,7421
7639,7415
7640,7424
7650,7642
7653,7645
7656,7648
7659,7643
7660,7652
7662,7646
7663,7655
7665,7649
7666,7658
7696,7488
7697,7497
7698,7482
7700,7500
7701,7485
7702,7494
7704,7480
7706,7498
7707,7483
7708,7492
7711,7495
7712,7504
7713,7481
7714,7490
7717,7493
7718,7502
7719,7487
7721,7505
7731,7723
7734,7726
7737,7729
7740,7724
7741,7733
7743,7727
7744,7736
7746,7730
7747,7739
7779,7347
7780,7356
7781,7365
7782,7350
7783,7359
7784,7368
7788,7348
7789,7357
7790,7366
7791,7351
7792,7360
7793,7369
7797,7349
7798,7358
7799,7367
7800,7352
7801,7361
7802,7370
7806,7590
7807,7599
7808,7608
7809,7593
7810,7602
7811,7611
7815,7591
7816,7600
7817,7609
7818,7594
7819,7603
7820,7612
7824,7592
7825,7601
7826,7610
7827,7595
7828,7604
7829,7613
7858,7434
7859,7443
7860,7428
7862,7446
7863,7431
7864,7440
7866,7426
7868,7444
7869,7429
7870,7438
7873,7441
7874,7450
7875,7427
7876,7436
7879,7439
7880,7448
7881,7433
7883,7451
7885,7677
7886,7686
7887,7671
7888,7680
7890,7674
7892,7692
7893,7669
7895,7687
7897,7681
7898,7690
7899,7675
7900,7684
7902,7670
7903,7679
7905,7673
7907,7691
7909,7685
7910,7694
7920,7912
7923,7915
7926,7918
7929,7913
7930,7922
7932,7916
7933,7925
7935,7919
7936,7928
7939,7515
7940,7524
7941,7509
7942,7518
7944,7512
7946,7530
7947,7507
7949,7525
7951,7519
7952,7528
7953,7513
7954,7522
7956,7508
7957,7517
7959,7511
7961,7529
7963,7523
7964,7532
7966,7758
7967,7767
7968,7752
7970,7770
7971,7755
7972,7764
7974,7750
7976,7768
7977,7753
7978,7762
7981,7765
7982,7774
7983,7751
7984,7760
7987,7763
7988,7772
7989,7757
7991,7775
8001,7993
8004,7996
8007,7999
8010,7994
8011,8003
8013,7997
8014,8006
8016,8000
8017,8009
8778,3162
8779,3171
8780,3180
8781,3165
8782,3174
8783,3183
8784,3160
8785,3169
8786,3178
8790,3166
8791,3175
8792,3184
8793,3161
8794,3170
8795,3179
8796,3164
8797,3173
8798,3182
8805,3405
8806,3414
8807,3423
8808,3408
8809,3417
8810,3426
8811,3403
8812,3412
8813,3421
8817,3409
8818,3418
8819,3427
8820,3404
8821,3413
8822,3422
8823,3407
8824,3416
8825,3425
8830,3006
8831,3015
8833,3009
8834,3018
8836,3012
8837,3021
8839,3007
8840,3016
8842,3010
8843,3019
8845,3013
8846,3022
8848,3008
8849,3017
8851,3011
8852,3020
8854,3014
8855,3023
8857,3249
8858,3258
8859,3243
8861,3261
8862,3246
8863,3255
8865,3241
8866,3250
8869,3253
8870,3262
8871,3247
8873,3265
8874,3242
8876,3260
8877,3245
8878,3254
8881,3257
8882,3266
8884,3492
8885,3501
8886,3486
8887,3495
8889,3489
8891,3507
8892,3484
8894,3502
8896,3496
8897,3505
8898,3490
8899,3499
8901,3485
8902,3494
8904,3488
8906,3506
8908,3500
8909,3509
8911,3087
8912,3096
8914,3090
8915,3099
8917,3093
8918,3102
8920,3088
8921,3097
8923,3091
8924,3100
8926,3094
8927,3103
8929,3089
8930,3098
8932,3092
8933,3101
8935,3095
8936,3104
8938,3330
